git emotion,category,content
공포,act,재미있는 밈 이미지 찾아보기
공포,act,어린 시절 만화 시청하기
공포,act,오래된 코미디 시트콤 보기
공포,act,웃긴 동물 사진 저장하기
공포,act,명상 듣기
공포,act,퍼즐 조각 맞추기
공포,act,작은 장난감 조립하기
공포,act,클레이나 슬라임 만지기
공포,act,뜨개질이나 자수 놓기
공포,act,좋아하는 간식 먹기
공포,act,아이스크림 크게 한 입 먹기
공포,act,매운 음식 먹어 감각 전환하기
공포,act,따뜻한 허브차 마시기
공포,act,따뜻한 우유 마시기
공포,act,뜨거운 물 마시기
공포,act,젤리나 마시멜로우 먹기
공포,act,커피 원두 냄새 맡기
공포,act,허브 냄새 맡기
공포,act,이 또한 지나가리라 세 번 외치기
공포,song,아이유 - Love wins all
공포,song,아이유 - 홀씨
공포,song,아이유 - Celebrity
공포,song,아이유 - Blueming
공포,song,악동뮤지션 - Love Lee
공포,song,악동뮤지션 - DINOSAUR
공포,song,볼빨간사춘기 - 우주를 줄게
공포,song,aespa - Next Level
공포,song,aespa - Savage
공포,song,aespa - Black Mamba
공포,song,aespa - 도깨비불
공포,song,aespa - Armageddon
공포,song,NCT 127 - Cherry Bomb
공포,song,NCT U - Make A Wish
공포,song,NCT U - BOSS
공포,song,EXO - Monster
공포,song,투모로우바이투게더 - Devil by the Window
공포,song,투모로우바이투게더 - PUMA
공포,song,VIXX - 사슬
공포,song,VIXX - 도원경
공포,song,VIXX - 저주인형
공포,song,A.C.E - 도깨비
공포,song,iKON - 취향저격
공포,song,iKON - 왜 왜 왜
공포,song,레드벨벳 - Peek-A-Boo
공포,song,레드벨벳 - Psycho
공포,song,레드벨벳 - 칠 킬 (Chill Kill)
공포,song,선미 - Siren
공포,song,선미 - 꼬리 
공포,song,슈가 - 해금
공포,song,슈가 - 대취타
공포,song,지민 - Like Crazy
공포,song,선우정아 - 도망가자
공포,song,윤하 - 사건의 지평선
공포,song,로꼬 - 남아있어
공포,song,로꼬 - 감아
공포,song,크러쉬 - Beautiful
공포,song,헤이즈 - 헤픈 우연
공포,song,자이언티 - No Make Up
공포,song,자이언티 - 쿵
공포,song,이적 - 걱정말아요 그대
공포,song,비와이 - 중2병
공포,song,로꼬 - 시간을 달려서
공포,song,오마이걸 - 비밀정원
공포,song,하현우 - 돌덩이
공포,song,아이유 - 잔혹동화
공포,song,Stray Kids - 독
공포,song,Stray Kids - 부작용
공포,song,Stray Kids - MIROH
공포,song,NCT 127 - Superhuman
공포,song,NCT 127 - Punch
공포,song,투모로우바이투게더 - Can't You See Me?
공포,song,iKON - Why Why Why
공포,song,윤종신 - 환생
공포,song,마마무 - 데칼코마니
공포,song,헤이즈 - 널 너무 모르고
